codigo,recursos,campo
2.0,2723,recu_tipo
6.0,2302,recu_tipo
99.0,2238,recu_tipo
9.0,901,recu_tipo
5.0,560,recu_tipo
3.0,469,recu_tipo
30.0,396,recu_tipo
10.0,278,recu_tipo
11.0,233,recu_tipo
21.0,210,recu_tipo
4.0,183,recu_tipo
,158,recu_tipo
24.0,114,recu_tipo
1.0,100,recu_tipo
12.0,92,recu_tipo
54.0,64,recu_tipo
7.0,59,recu_tipo
58.0,52,recu_tipo
62.0,51,recu_tipo
14.0,48,recu_tipo
59.0,47,recu_tipo
50.0,17,recu_tipo
57.0,17,recu_tipo
51.0,14,recu_tipo
61.0,13,recu_tipo
55.0,7,recu_tipo
22.0,4,recu_tipo
52.0,4,recu_tipo
120.0,4,recu_tipo
13.0,3,recu_tipo
56.0,3,recu_tipo
60.0,3,recu_tipo
,9173,recu_sub_tipo
70.0,1037,recu_sub_tipo
41.0,170,recu_sub_tipo
15.0,141,recu_sub_tipo
73.0,87,recu_sub_tipo
42.0,86,recu_sub_tipo
48.0,84,recu_sub_tipo
72.0,74,recu_sub_tipo
16.0,69,recu_sub_tipo
80.0,68,recu_sub_tipo
19.0,58,recu_sub_tipo
40.0,54,recu_sub_tipo
17.0,49,recu_sub_tipo
28.0,35,recu_sub_tipo
49.0,35,recu_sub_tipo
71.0,32,recu_sub_tipo
43.0,23,recu_sub_tipo
44.0,15,recu_sub_tipo
29.0,13,recu_sub_tipo
18.0,11,recu_sub_tipo
20.0,11,recu_sub_tipo
82.0,9,recu_sub_tipo
83.0,9,recu_sub_tipo
33.0,8,recu_sub_tipo
34.0,8,recu_sub_tipo
81.0,3,recu_sub_tipo
26.0,2,recu_sub_tipo
22.0,1,recu_sub_tipo
84.0,1,recu_sub_tipo
85.0,1,recu_sub_tipo
,9863,recu_clase
1.0,780,recu_clase
3.0,465,recu_clase
2.0,118,recu_clase
4.0,88,recu_clase
5.0,53,recu_clase
,9859,recu_clase_tipo
1.0,708,recu_clase_tipo
2.0,518,recu_clase_tipo
3.0,139,recu_clase_tipo
4.0,137,recu_clase_tipo
5.0,5,recu_clase_tipo
6.0,1,recu_clase_tipo
