reem_id,reem_codigo_empresa,reem_tipo,reem_codigo_tipo,reem_valido
2541,5,CAMION,21,1
2542,5,CAMION,21,1
2543,5,CAMION,21,1
2544,36,CAMION,21,1
2545,36,CAMION,21,1
2546,36,CAMION,21,1
2547,36,CAMION,21,1
2548,34,CAMION,21,1
2549,34,CAMION,21,1
2550,34,CAMION,21,1
2551,34,CAMION,21,1
2552,3,CAMION,21,1
2553,35,CAMION,21,1
2554,22,CAMION,21,1
2555,3,CAMION,21,1
2509,5,AVION,4,1
2510,5,AVION,4,1
2511,5,AVION,4,1
2512,3,AVION,4,1
2513,3,AVION,4,1
2514,3,AVION,4,1
2515,3,AVION,4,1
2516,3,AVION,4,1
2517,3,AVION,4,1
2518,3,AVION,4,1
2519,3,AVION,4,1
2520,3,AVION,4,1
2521,3,AVION,4,1
2522,3,AVION,4,1
2594,31,Brigada,2,1
2595,31,Brigada,2,1
2596,31,Brigada,2,1
2597,13,Brigada,2,1
2598,13,Brigada,2,1
2599,36,Brigada,2,1
2600,36,Brigada,2,1
2602,36,Brigada,2,1
2603,35,Brigada,2,1
2604,35,Brigada,2,1
2605,35,Brigada,2,1
2606,22,Brigada,2,1
2607,22,Brigada,2,1
2608,22,Brigada,2,1
2609,22,Brigada,2,1
2610,22,Brigada,2,1
2611,1,Brigada,2,1
2759,5,HELICOPTERO,4,1
2760,36,HELICOPTERO,4,1
2761,35,HELICOPTERO,4,1
2762,22,HELICOPTERO,4,1
2763,3,HELICOPTERO,4,1
2764,3,HELICOPTERO,4,1
2765,3,HELICOPTERO,4,1
2766,3,HELICOPTERO,4,1
2767,3,HELICOPTERO,4,1
2768,3,HELICOPTERO,4,1
2769,3,HELICOPTERO,4,1
2770,3,HELICOPTERO,4,1
2771,3,HELICOPTERO,4,1
2772,3,HELICOPTERO,4,1
2773,3,HELICOPTERO,4,1
2774,3,HELICOPTERO,4,1
2775,3,HELICOPTERO,4,1
2776,3,HELICOPTERO,4,1
2777,3,HELICOPTERO,4,1
2778,3,HELICOPTERO,4,1
2779,3,HELICOPTERO,4,1
2780,3,HELICOPTERO,4,1
2795,5,MAQUINARIA PESADA,11,1
2796,5,MAQUINARIA PESADA,11,1
2797,5,MAQUINARIA PESADA,11,1
2798,34,MAQUINARIA PESADA,11,1
2799,3,MAQUINARIA PESADA,11,1
2800,3,MAQUINARIA PESADA,11,1
2801,3,MAQUINARIA PESADA,11,1
2802,3,MAQUINARIA PESADA,11,1
2803,3,MAQUINARIA PESADA,11,1
2804,3,MAQUINARIA PESADA,11,1
2805,3,MAQUINARIA PESADA,11,1
2806,3,MAQUINARIA PESADA,11,1
2810,3,MAQUINARIA PESADA,11,1
2524,3,AVION,4,1
2525,3,AVION,4,1
2526,3,AVION,4,1
2527,3,AVION,4,1
2528,3,AVION,4,1
2529,3,AVION,4,1
2530,1,AVION,4,1
2531,1,AVION,4,1
2532,1,AVION,4,1
2923,35,Brigada ,2,1
2924,35,Brigada ,2,1
2925,35,Brigada ,2,1
2926,22,Brigada ,2,1
2890,3,BRIGADA,2,1
2891,3,BRIGADA,2,1
2892,3,BRIGADA,2,1
2893,3,BRIGADA,2,1
2894,3,BRIGADA,2,1
2895,3,BRIGADA,2,1
